type,claim,source,how_used,confidence
Verified fact,"Coca-Cola reported more than 180 million servings at the 2025 Maha Kumbh activation.",https://www.coca-colacompany.com/media-center/coca-cola-reports-first-quarter-2025-results,Reach signal in India,High
Verified fact,"Trademark Coca-Cola and Thums Up contributed to double-digit India volume growth in Q1 2025.",https://www.coca-colacompany.com/media-center/coca-cola-reports-first-quarter-2025-results,Short-period growth signal,High
Verified fact,"India and Southwest Asia unit-case volume was even for full-year 2025.",https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/ko-20251231.htm,Longer-period context,High
Verified fact,"Coca-Cola's 2025 net operating revenue was $47.941 billion and advertising expense was $5.4 billion.",https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/ko-20251231.htm,Scale context only,High
Verified fact,"Coca-Cola said lower-cost single-serve juice offerings added more than 130 million transactions year to date in markets including India and Latin America.",https://www.coca-colacompany.com/content/dam/corporate/us/en/media-center/Coca-Cola-2025-Q2-Earnings-Release-Full-Release-7.22.25.pdf,Affordability and pack architecture signal,High
Verified fact,"The 2025 Share a Coke relaunch combined personalized packs with digital and real-world sharing.",https://www.coca-colacompany.com/media-center/iconic-share-a-coke-is-back-for-a-new-generation,Campaign mechanism,High
Research finding,"Adding a customer's name to a standard product improved product attitude through psychological ownership in the reported experiment.",https://doi.org/10.1108/JSTP-08-2019-0181,Mechanism support,Medium
Research finding,"Self-referential processing produced stronger recall for consumer brands in the reported studies.",https://experts.umn.edu/en/publications/self-reference-effect-and-consumer-brands/,Mechanism support,Medium
Interpretation,"A high-reach event needs a designed repeat mechanism to become a durable growth loop.",Public facts above,Case thesis,Medium
Recommendation,"Test occasion cue plus personalization plus repeat prompt against control at outlet level.",Author recommendation,Experiment design,To test
